filename,width,height,class,xmin,ymin,xmax,ymax
p64_jpg.rf.f6102bd34bb1dc6690770f14d37d05c8.jpg,411,541,potholes,51,139,390,347
p64_jpg.rf.f6102bd34bb1dc6690770f14d37d05c8.jpg,411,541,L,180,229,350,242
p987_jpg.rf.f61395624ad92ba6aa550b590824597b.jpg,1172,956,potholes,461,269,803,825
p987_jpg.rf.f61395624ad92ba6aa550b590824597b.jpg,1172,956,L,599,260,658,821
p1542_jpg.rf.f6b31982241b5986f6d416023a1eb3db.jpg,410,295,potholes,116,79,370,294
p1542_jpg.rf.f6b31982241b5986f6d416023a1eb3db.jpg,410,295,L,199,86,222,289
p1024_jpg.rf.f66a62f3b28146f4fde452f63d527999.jpg,821,531,L,391,157,426,412
p1024_jpg.rf.f66a62f3b28146f4fde452f63d527999.jpg,821,531,potholes,99,38,282,531
p1024_jpg.rf.f66a62f3b28146f4fde452f63d527999.jpg,821,531,potholes,345,210,508,362
p416_jpg.rf.f9538dc8074d045ab910675281069628.jpg,519,378,potholes,71,30,480,352
p416_jpg.rf.f9538dc8074d045ab910675281069628.jpg,519,378,L,198,178,376,196
p1998_jpg.rf.f76626777c489eff9a16c03dab1dad3e.jpg,663,429,potholes,128,36,544,414
p1998_jpg.rf.f76626777c489eff9a16c03dab1dad3e.jpg,663,429,L,180,219,557,258
p1221_jpg.rf.fb264dc462f80c4ca7a7b85a30ce0fcb.jpg,378,378,potholes,134,93,242,288
p1221_jpg.rf.fb264dc462f80c4ca7a7b85a30ce0fcb.jpg,378,378,L,127,176,373,218
p271_jpg.rf.f7fc4c342040e203b7bf2febb08db41c.jpg,919,699,potholes,279,284,651,489
p271_jpg.rf.f7fc4c342040e203b7bf2febb08db41c.jpg,919,699,L,251,361,654,385
p1621_jpg.rf.f84e6c0e54b8475419bd6d4efe49db04.jpg,1040,626,potholes,188,108,892,496
p1621_jpg.rf.f84e6c0e54b8475419bd6d4efe49db04.jpg,1040,626,L,166,247,730,362
p1018_jpg.rf.f8fe24daeae5e433b958042a81dce2b1.jpg,821,580,potholes,80,41,623,483
p1018_jpg.rf.f8fe24daeae5e433b958042a81dce2b1.jpg,821,580,L,283,65,349,335
p1625_jpg.rf.f65c302f59185c8b442e0bd82ad9b890.jpg,870,494,potholes,364,162,657,450
p1625_jpg.rf.f65c302f59185c8b442e0bd82ad9b890.jpg,870,494,L,435,158,497,431
p1037_jpg.rf.fa81f181668539c7ae4c0da387fb3163.jpg,378,378,potholes,130,14,266,338
p1037_jpg.rf.fa81f181668539c7ae4c0da387fb3163.jpg,378,378,L,173,35,192,237
p110_jpg.rf.faa26dd7cfea7c190fdb14ed092d19cb.jpg,563,378,potholes,56,0,563,378
p110_jpg.rf.faa26dd7cfea7c190fdb14ed092d19cb.jpg,563,378,L,264,43,313,232
p1018_jpg.rf.fa9feff81544e904add90193fc1796d8.jpg,821,580,potholes,80,97,623,539
p1018_jpg.rf.fa9feff81544e904add90193fc1796d8.jpg,821,580,L,283,245,349,515
p328_jpg.rf.fa83fb57e79a68dfedd887a409d73377.jpg,861,647,potholes,289,139,512,481
p328_jpg.rf.fa83fb57e79a68dfedd887a409d73377.jpg,861,647,L,374,135,407,486
p349_jpg.rf.faf4aab18acb057d2d745a2cb7241188.jpg,1135,851,potholes,71,37,899,647
p349_jpg.rf.faf4aab18acb057d2d745a2cb7241188.jpg,1135,851,L,122,297,421,350
p465_jpg.rf.fba69804bdfa166a2942aa0bd6be1812.jpg,493,378,potholes,134,21,261,113
p465_jpg.rf.fba69804bdfa166a2942aa0bd6be1812.jpg,493,378,potholes,81,115,238,364
p465_jpg.rf.fba69804bdfa166a2942aa0bd6be1812.jpg,493,378,L,192,55,218,231
p1022_jpg.rf.fb36c4872c1285cb2650059afeb77285.jpg,820,530,potholes,7,30,812,528
p1022_jpg.rf.fb36c4872c1285cb2650059afeb77285.jpg,820,530,L,366,281,439,488
p1355_jpg.rf.fc38755ea2c51c29b609106e452ee46f.jpg,378,378,potholes,62,52,334,374
p1355_jpg.rf.fc38755ea2c51c29b609106e452ee46f.jpg,378,378,L,155,17,169,198
p968_jpg.rf.f9bf1aa74a84e9439e2f61c5438527cf.jpg,980,1122,potholes,216,291,773,908
p968_jpg.rf.f9bf1aa74a84e9439e2f61c5438527cf.jpg,980,1122,L,517,323,569,768
p1959_jpg.rf.f8877608813dc23c7103e37c2175ab0d.jpg,580,436,potholes,195,97,486,298
p1959_jpg.rf.f8877608813dc23c7103e37c2175ab0d.jpg,580,436,L,225,179,488,199
p60_jpg.rf.f97772a7974c0a3bcd4b0011164ff843.jpg,408,422,L,73,175,207,191
p60_jpg.rf.f97772a7974c0a3bcd4b0011164ff843.jpg,408,422,L,205,168,369,187
p60_jpg.rf.f97772a7974c0a3bcd4b0011164ff843.jpg,408,422,potholes,77,122,213,230
p466_jpg.rf.f9d9dafab925db424e21bd2ddeaf91fc.jpg,521,378,potholes,55,121,456,288
p466_jpg.rf.f9d9dafab925db424e21bd2ddeaf91fc.jpg,521,378,L,228,157,420,194
p1443_jpg.rf.fccfbe7d070232ef2900b0360247e94b.jpg,378,378,potholes,119,15,330,350
p1443_jpg.rf.fccfbe7d070232ef2900b0360247e94b.jpg,378,378,L,159,120,200,371
p994_jpg.rf.f902cdff887ac1a91d339f3ca9e5acde.jpg,804,694,potholes,269,60,645,643
p994_jpg.rf.f902cdff887ac1a91d339f3ca9e5acde.jpg,804,694,L,366,175,412,456
