                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9033,                 3.1287,                 1.9776,                0.02485,                0.42327,                0.08378,                0.03106,                 2.1709,                 3.9789,                 2.2834,             0.00034296,             0.00034296,             0.00034296
                      2,                 1.6779,                 2.3794,                 1.7466,                0.87214,                0.10715,                0.23292,                0.10105,                 2.0031,                 3.4289,                 2.3917,             0.00068635,             0.00068635,             0.00068635
                      3,                 1.6953,                 2.3054,                 1.7536,                0.76195,                0.15417,                0.19974,                0.07829,                 2.2036,                 3.4092,                 2.5492,              0.0010156,              0.0010156,              0.0010156
                      4,                 1.6832,                 2.1545,                  1.772,                0.50975,                0.20193,                0.17247,                 0.0644,                  2.329,                 3.2335,                  2.495,              0.0013307,              0.0013307,              0.0013307
                      5,                 1.6553,                  2.029,                 1.7129,                0.50047,                0.22002,                0.13689,                0.04786,                 2.5466,                 4.4836,                 2.7958,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.6221,                 1.8682,                 1.6472,                0.15318,                 0.4481,                0.17857,                0.07729,                 2.2571,                 4.6466,                 2.6921,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.6589,                 1.8798,                 1.7573,                0.54144,                0.36987,                0.27273,                0.11575,                 1.8382,                 3.1357,                 2.0847,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.5901,                  1.771,                 1.6426,                0.65441,                0.27469,                0.31085,                0.12031,                 2.1223,                  3.152,                  2.304,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.5796,                 1.6987,                 1.6491,                0.63681,                0.45732,                0.38884,                0.19161,                 1.6184,                 1.9576,                 1.8222,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.5608,                  1.683,                 1.6015,                 0.5253,                0.37449,                0.25446,                0.10144,                 2.0789,                 2.6101,                 2.4365,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.5215,                 1.5788,                 1.5913,                 0.3822,                0.62978,                0.45103,                0.22137,                 1.7227,                 2.1911,                 1.9365,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.5006,                 1.5556,                 1.5481,                0.57971,                0.67337,                0.55924,                0.26022,                 1.7024,                 2.0461,                 2.0217,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.4804,                 1.5074,                 1.5347,                0.80379,                0.38671,                0.49215,                0.25332,                 1.6553,                 1.7259,                 1.9783,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.4772,                 1.5965,                 1.5687,                0.43068,                0.59837,                0.53955,                0.27478,                 1.8077,                 1.5769,                  1.959,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.4342,                 1.4414,                 1.5442,                0.45363,                0.47917,                0.53007,                0.28239,                 1.5753,                 1.5032,                 1.7577,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.4071,                 1.4268,                  1.513,                0.83677,                0.45254,                0.53819,                0.26445,                 1.6544,                 1.4473,                 1.8756,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.3731,                  1.325,                 1.4723,                0.49627,                0.56951,                0.59907,                0.34855,                   1.51,                 1.4622,                 1.7084,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.3421,                 1.2842,                 1.4607,                0.45128,                0.53129,                0.54236,                0.28001,                 1.6249,                 1.3958,                 1.7707,               0.000948,               0.000948,               0.000948
                     19,                 1.3924,                 1.3224,                  1.465,                0.47442,                0.61138,                0.57771,                0.33034,                 1.5086,                 1.4048,                 1.7422,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2623,                 1.2497,                 1.4075,                0.50811,                0.68801,                0.57987,                0.30622,                 1.5496,                 1.3632,                 1.7377,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.2914,                 1.2621,                 1.3912,                0.43818,                0.83679,                0.65905,                0.33925,                  1.514,                 1.5934,                  1.727,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.3491,                 1.3011,                  1.443,                0.68377,                0.66717,                0.63396,                0.35634,                 1.4309,                 1.4307,                 1.6218,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.2854,                 1.1988,                 1.4236,                0.81903,                0.50878,                0.56249,                0.30964,                 1.5306,                 1.6177,                 1.6683,             0.00080653,             0.00080653,             0.00080653
