filename,pothole_area_mm2,aspect_ratio
1189,15899.297423887587,1.9109589041095891
1522,17190.855381453894,2.4444444444444446
1975,93170.06802721089,0.897196261682243
467,8539.087371772197,1.3051470588235294
1501,50348.95314057827,1.616
1546,29145.918688937913,1.25
1246,4837.94466403162,1.411764705882353
983,31066.838709677417,0.868421052631579
1344,12414.36751691827,3.0795454545454546
286,10784.313725490196,2.262857142857143
2011,29446.153846153848,1.0114942528735633
1935,35818.181818181816,1.3310810810810811
1925,33481.77083333333,1.7383720930232558
1259,40385.26570048309,0.8469750889679716
1099,37080.07448789571,1.1491228070175439
1431,13125.202374527793,0.8305785123966942
2021,107164.44444444445,1.46524064171123
254,55745.63242487771,1.820945945945946
1323,83511.62790697673,0.8544973544973545
1531,54000.0,1.6046511627906976
283,67184.44444444444,1.7988338192419826
109,59513.23529411764,1.010600706713781
1069,5082.673424136839,1.2566371681415929
1069,4228.064618308521,1.5106382978723405
1931,111046.51162790698,1.4397905759162304
1097,3128.0015125732657,0.9361702127659575
1587,15557.039683156016,1.2034313725490196
1514,12213.58695652174,0.8722466960352423
951,29222.375864236335,0.9597701149425287
260,50405.83804143126,2.7035175879396984
219,46947.719688542835,1.1941489361702127
472,29692.97297297297,2.381720430107527
78,29646.812957157785,0.8439024390243902
940,11457.994579945802,1.3073593073593073
1131,28855.873015873018,1.1174089068825912
1276,11816.169070781618,1.6081081081081081
1621,8422.81837804502,1.8144329896907216
1507,13856.666136977596,0.9174311926605505
171,7112.588284171167,1.9454545454545455
289,27002.55972696246,2.668831168831169
1267,56286.919831223626,1.4870689655172413
1110,7994.513031550068,0.7580645161290323
1418,9067.164179104477,0.5
310,22592.59259259259,0.5648148148148148
59,20151.82481751825,1.4926470588235294
1218,12695.081967213115,0.47265625
1957,73196.68246445496,1.2122762148337596
1528,17719.78021978022,1.5925925925925926
1016,84234.27041499331,1.2336633663366336
1972,11678.422782037242,0.7205882352941176
1178,1735.8538122243226,1.4639175257731958
328,13168.60916860917,0.652046783625731
1100,13238.425925925925,1.2932330827067668
287,13449.056603773586,0.7129629629629629
413,38380.434782608696,1.852813852813853
40,35466.666666666664,0.6698564593301436
312,11643.481074086058,1.7231638418079096
312,7679.068262698156,1.8695652173913044
987,11489.893954500136,0.6151079136690647
1106,19935.29217563552,0.8161764705882353
224,80032.16374269004,1.3415841584158417
1025,59161.30439524485,0.8318739054290718
47,21428.571428571428,0.7183908045977011
315,4178.822023047376,0.6713995943204868
1638,46716.90140845071,1.973170731707317
1126,33493.68863955119,2.335664335664336
1101,12375.0,1.0636363636363637
252,23990.030211480364,2.653179190751445
1287,14376.108811354226,1.4384615384615385
1287,9636.901241868716,0.5773809523809523
1224,3549.528301886792,0.39069767441860465
1295,5125.062656641604,0.7159763313609467
1245,15018.514285714287,1.6524822695035462
166,95765.45454545454,1.0718232044198894
1125,16489.795918367345,0.8712871287128713
1599,18582.74588788184,1.7170418006430868
1089,21425.925925925927,0.5355805243445693
348,14927.888911803122,2.0
1133,12015.0,1.9777777777777779
1117,39946.666666666664,0.6369047619047619
1674,62756.73990961509,1.4722753346080306
265,38433.90964863358,1.8559322033898304
1230,66692.8746928747,1.1153846153846154
1127,30454.518518518522,0.8295454545454546
1425,12686.890002637825,1.7245508982035929
218,49474.36332767402,1.053231939163498
1512,4494.270435446906,2.1486486486486487
188,14271.950271950273,0.6829268292682927
1079,8859.416445623345,0.9580838323353293
