Pothole number,Bags used
103,1.0095069567764972
104,0.9668574290464214
1040,0.4932369767726865
105,1.208445690059654
108,2.1671682007806967
1086,0.47959734605337323
1115,0.404707867271267
1134,0.45491769466613363
114,1.1783743974655798
1161,0.3425858136063089
1162,0.2926920551829637
1181,0.6586820870520835
1198,0.6544427805115209
1205,0.38198814561913863
1250,0.5874164447329586
1270,0.9251249546574359
1278,0.3506939670850704
1280,0.35453941777649206
1296,0.5937317358697263
143,0.602956021123099
1409,0.6635852318888273
1430,0.7204564758961967
1438,0.6242001247714041
144,0.6897981952291049
406,2.208134163960129
434,1.4390651280602493
450,0.5515286800817332
470,0.8724202563326111
473,0.5103848286886532
479,1.331707909091123
