Pothole number,Bags used
143,0.41473440003482903
114,1.8665987628734166
1296,0.638197911691844
1205,0.5608238413823217
1134,0.37399921889281684
470,0.542957485891895
1198,0.5459137903710063
406,1.8612428852922376
1409,0.5151271715228999
1250,0.33804534307272677
105,0.9445299067367572
1161,0.6644703511912674
1115,0.6891377241241542
1430,0.45610647373282454
1280,0.3195993580278623
473,0.25681443541733295
1438,0.5832993631850611
450,0.7372059056562521
1270,0.5021287486824959
1162,0.3429758429414353
1086,0.5174972990875307
1278,0.6402098522088122
108,0.8381909495649009
479,0.6846892343763384
144,0.30030258503459645
1040,0.5459488496739656
1181,0.6420737442171665
103,1.0240004970105234
434,1.8233098203979887
104,0.7412560996627515
