ID,Area,Width,Height,Bags
1642_c1ab620ebce6f322a01d0b5f8d236ab6,1.7824225352182577,4.455068205047059,2.8175906645354662,1.0
1598_d0396649fc4388fab6f978d41272fadb,17.745082823909105,4.573474954615749,1.8999018012750648,2.5
85_87bb402d54a0e18bc7f77247c06ba28b,0.05551331684577612,2.2539981485253073,2.441011095346184,0.5
1269_a8f98c590288253128e61843241dce85,3.4582468806566,3.195541583616728,4.784484912486924,2.0
80_3594bdf7e7408c15bd296b3342821fec,6.512330942997673,4.167337648163688,3.4858159416275356,1.5
1569_c5eaf2b6ecc62f5361213420b9943f72,0.20759244121557835,2.2215662875383453,2.8336843145085306,1.5
1541_cc32e3e27e1b29f8ecf4110708b1a4ce,1.8694483682456038,4.678189465013436,2.6497557516677666,0.25
1071_58209c3f2b5f5bc646eba37ffe8fdc08,4.92766340467898,3.179624171449877,3.9588206087221782,0.5
1020_7c03579b66133b3d4f93a8ef5412d0bc,0.006789220933360878,4.640399550568989,2.1422299061575587,1.5
1069_08312279cc63d5e92b95df4ae5ecbfb4,2.0137500956108103,1.7820797306290357,1.1796865822473899,0.5
185_384575609783c189dd2e07c1eab59f53,0.516288334350815,1.9503891277255117,1.8600236082942134,0.5
1518_7515a7faee32d53b8453c111e51bf325,1.5325801652406725,1.4488678032737452,0.8358852711194683,0.25
946_9aed00f992770f0acb5aacba2bdfdf36,11.272135072339463,3.7324950570660476,3.5115685583612035,1.5
1507_11f7c3ee220747c1c352a127af1a9166,2.567679269862434,1.827074586304077,1.9915112990714439,0.25
1294_f4a8c4abc9ade684a9677674089a0c0f,0.24731750372803726,1.3506417072526307,1.490708254671422,0.25
437_31ce0bbfae0654a59ed42c78c71132ab,1.6960057941738225,3.611715972727406,1.2706036801561789,1.0
404_41068b4dafb5941fd155cd561da002b0,4.684449312707076,5.91531938784438,3.8691397253824875,2.0
284_fd784b8d9d1f3836669b05fdbcd700d0,14.529349649825445,2.8714129742738033,2.105702847800789,1.0
1072_783e6627cab02805fb1ef18d8bf1ba6e,1.9480484155468751,3.026252225806407,2.2030188616981503,0.55
1018_fa9feff81544e904add90193fc1796d8,1.3385878309525594,3.9071826705759274,3.180432302752412,1.0
1275_b06207979fbf2ab344a0c132af1f2e24,0.7827719341075321,1.7026586293609527,1.3305544255933273,0.25
1002_835f44ca1427219e1321420d901d1da0,1.1972700477819673,10.15548053653923,6.969162144702422,4.0
444_ef6d067352f24aedf44eb4b37cec731d,1.4983050291379068,1.4699165641958047,3.0632612368355314,0.5
296_63c272eb07e47158ce43af114c612008,4.753518961902967,2.2528525885796054,1.0378862362233552,0.5
1168_80d72123b570bffb082e5a14385c5cdb,0.11795929498399821,1.1687890177431963,1.3357588774207958,0.25
270_bce25fffb09191a658541d1c52c0b9fd,0.13799932259137612,2.3260319336818815,2.9019592262825777,1.0
319_2ad1d1fcaf131aa1c43374063867d34e,0.08418284016023998,1.6257991811015422,1.6257991811015422,0.25
1196_efc673eabd784b233a40feae287e543e,3.5950577318767793,1.8156857231700905,1.5907335096799908,0.5
1522_003e1fbdac059360a5d56ac9622071c5,1.146887786541257,2.4909622338304946,1.0190300047488388,0.5
1556_64b5c2bae915ae6a6089d9900238b62b,1.606199403510333,1.60870476338774,1.4438784556635866,0.25
243_81410a3bdeaf70cda0a804c123b3003e,0.4170757915748695,3.8884144463927863,3.913181417388918,1.0
994_f902cdff887ac1a91d339f3ca9e5acde,0.11919636260348095,2.6410036734772446,4.094960483077749,1.5
46_af98e9e9e8a10664f402de04342b5e46,0.002259681672472742,2.227400505723131,1.2105437531103975,1.0
264_f239cd14cc410a2521e03bf424976989,2.0764977505420847,1.905043807836775,0.6655441508147707,0.5
1591_bfcd09734f83a5274f4e3e61a71fdc6d,5.697257195025824,1.8618487565443869,0.992553518297182,0.25
45_d23206ec90828225d6b6fc2ba461c8a6,0.020633288077789653,2.755914701299177,2.0344710622156232,1.0
1551_ee00d88634f65388f736310b3c893a19,8.13265017113515,2.1861962825632126,1.7085399519191495,0.25
1611_21df310cec9118c49fe78680639dedc0,0.0960534157520192,6.534916148598914,4.096637133355348,2.0
1177_f5ed4878438d381856cd7416f5aff8ee,0.46351892450992366,2.283866634279666,0.7998351504017394,0.5
1531_06fe1bd1723c3ecf13fb2e5ec9150776,0.7054277135477532,8.489740506068891,5.29070785160815,6.0
332_4f142b63fbff0eb6ea431a92826bf1b3,0.22018607026764916,1.8425338220729426,2.8326498616922104,0.5
198_fedeb06b31986e00a900e8c8ecfd4700,6.48558662176194,1.8853449481866105,1.9653292793218,1.0
278_c35c7abcf4dafebb61cee6ab6a77010b,1.0689606541362697,5.034712676080136,1.9167687853096962,2.0
1248_412d7c43924604cb1bcb4bfd45711061,6.171269646875047,2.4984897355769418,2.5929704398634654,1.0
1008_6c5349b8d6eab8acb208d7768e74817e,12.83168933970663,2.7301466680226874,2.2751222233522395,0.5
410_b4e047b33a44f8895bd360279961baba,1.9540631854176918,3.5610726776723953,1.5491672100608727,1.0
1105_85674efb8cdf78cfc67f1f8223f6e7ce,0.2046477896395735,1.8507278367404905,2.123591556259922,0.5
1510_22aab525f1fbfb1b76bcb90881b99df5,0.4729040506993815,1.790733650574331,1.0730732180922518,0.5
1511_3eadff0eaf2eb56d1a571b3d414a7c00,0.6136386229740676,2.06743040548862,2.085486566235245,0.5
1058_c527d192a95fd728dd002aa67fa85c11,1.7734018473989062,3.06098059061644,4.044428169930958,2.0
1111_71f0c5e00d02cb1a9c891384cd098d74,0.015024025825982383,1.5294728994018103,1.3129103649732354,0.25
1521_a7358cb4c036260a1e11c94c40e17b29,0.3613672309518759,1.9266802538849621,1.3073901722790813,0.25
1406_f8d83ab7a9e7ce9f0f1199718f99df18,0.7857913762927972,7.1279904196540835,7.77015171872202,8.0
263_c333ec4056a2e07d06c2051bae04c10f,0.8355229101749179,5.008468549689628,2.992347735195922,1.5
498_2e6d776c947ba6af456057bb5bb22bbb,2.119956002746496,1.8208926018230744,2.0976682773001816,0.5
324_4939500efbe9d03db4a79a9979b8c5e1,1.056764754475836,2.5518384135820322,1.5766507360804318,0.25
136_9d5adf3a200a18bcfe16000d5e173964,0.04464651945030493,4.627811982888749,5.32495032646494,3.0
1624_dd26bed266cd40e3e11958ebef078578,0.18402265730829914,2.182724882642297,3.158283592247697,1.5
67_9441f6ae1c3deafa3936a5c74f1f6366,0.7247156710200465,2.302892620643782,4.482139999910717,0.5
1309_fd78ec44c0706885a34159bee2bdefad,2.632420910890832,0.9301840674525907,2.2499324024707965,0.25
111_3ca738a9903f102aa86eefe01af086b9,1.447847494366597,5.227370142593713,5.066527984360061,0.5
153_7ddaa20af65107a13cc23b240ee1e336,1.00967986446792,2.94338189281059,1.4217533294614026,1.5
1666_ac9912f664b031a74e4cc4dcd11a882c,2.1388035445865627,3.9755237729942716,3.1069812790719,1.0
199_972ed3fdfcd793015db667172ef6eb92,0.19322166216370662,1.5671517840750702,4.2394626297522136,1.0
1293_d3be73b4560eb2e5b5c17e0e17042216,0.375442284993406,1.1580200348822587,0.9264160279058069,0.5
1418_13fad615430e671fbb759bdb4cb84673,0.6892700159769629,1.3174494146522724,2.6348988293045448,0.25
171_10f25770a0595868461b159f9c09aef5,0.8132977100726326,2.5969219629296236,1.3348664295432644,0.5
1668_26cf422e46c2dfcf11abc802aa0067c8,9.239128735858262,5.258100448990157,2.4528010474339554,2.5
969_79f1256466e7025e79026efe6cba5a04,0.027354903878614736,2.5555640412797267,1.899900235939463,0.5
1337_b9a6272128620a6df235a44f550b6cf3,0.6137966959552208,0.9899946708955174,4.155675304573045,0.25
132_2dafbd039a32d4dbe71ecec78c7e764d,1.0517731030791702,6.579394079827701,4.3940123006623155,2.0
