Pothole number,Bags used
103,0.8630032552374369
104,0.7663468368527497
105,0.7835401281850467
108,0.9569050031345331
114,1.573933461807268
143,0.48628404569087746
144,0.4975353292293753
406,1.8281761688717606
434,1.3076619236633835
450,0.7324278802440559
470,0.641456810130718
473,0.43856349963699415
479,0.6341632150747429
1040,0.5841088291297292
1086,0.5810033917783072
1115,0.6174146736338086
1134,0.45847104582526055
1161,0.4315696711978687
1162,0.3714966366647495
1181,0.6949170318937281
1198,0.5425007733033983
1205,0.4553991532382334
1250,0.48196666155514556
1270,0.6355812253760588
1278,0.49680992835616017
1280,0.421740343497958
1296,0.6229745704896632
1409,0.5118091566230135
1430,0.8013073509236825
1438,0.5645457353841062
